TopicKeyword,[0, 1, 2, 3, 4]
																																																				energy,0.034,0.026,0.01,0.063,0.023
fossil,0.015,0.009,0.01,0.008,0.008
production,0.014,,,,
emissions,0.013,,0.011,0.013,0.017
carbon,0.01,,,0.013,0.013
fuels,0.008,0.007,,,
emission,0.008,,,,
renewable,0.007,0.01,,0.008,
fuel,0.007,0.01,0.017,,
model,0.006,,,0.007,
electricity,,0.008,,,0.012
power,,0.008,,,
systems,,0.007,,,
rate,,0.006,,,
oil,,0.006,0.011,,
subsidies,,,0.012,,
price,,,0.01,,
consumption,,,0.01,0.013,0.013
prices,,,0.01,,
gas,,,0.009,,0.013
demand,,,,0.011,
economic,,,,0.007,
future,,,,0.007,
climate,,,,,0.015
change,,,,,0.011
coal,,,,,0.009
